,Team,Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
0,Islamabad United,Abrar Ahmed,2023-2023,3,2,-,-,-,0.00,0.00,-,-,2
1,Islamabad United,Agha Salman,2024-2024,12,12,2,310,64*,31.00,140.27,-,2,-
2,Islamabad United,Ahmed Safi Abdullah,2020-2020,3,2,2,9,8*,0.00,69.23,-,-,-
3,Islamabad United,Akif Javed,2020-2021,11,3,3,-,0*,0.00,0.00,-,-,-
4,Islamabad United,Ali Khan,2021-2021,3,-,-,-,-,0.00,0.00,-,-,-
5,Islamabad United,Amad Butt,2017-2020,16,9,2,60,17,8.57,105.26,-,-,2
6,Islamabad United,Ashar Zaidi,2016-2016,3,2,-,8,6,4.00,50.00,-,-,-
7,Islamabad United,Asif Ali,2016-2023,76,66,16,1130,75,22.60,157.60,-,3,3
8,Islamabad United,Athar Mahmood,2022-2022,3,1,1,-,0*,0.00,0.00,-,-,-
9,Islamabad United,Azam Khan,2022-2024,34,30,4,804,97,30.92,155.81,-,5,2
10,Islamabad United,Azhar Mahmood,2016-2016,2,2,2,14,12*,0.00,116.66,-,-,-
11,Islamabad United,Babar Azam,2016-2016,2,2,-,15,15,7.50,57.69,-,-,1
12,Islamabad United,S Badree,2016-2017,7,1,1,2,2*,0.00,100.00,-,-,-
13,Islamabad United,IR Bell,2019-2019,1,1,-,54,54,54.00,117.39,-,1,-
14,Islamabad United,SW Billings,2016-2017,10,9,2,167,78*,23.85,130.46,-,1,1
15,Islamabad United,JM Cox,2024-2024,6,5,1,106,41,26.50,123.25,-,-,-
16,Islamabad United,TK Curran,2023-2023,5,3,1,21,10*,10.50,190.90,-,-,-
17,Islamabad United,Danish Aziz,2022-2022,3,3,1,36,30*,18.00,81.81,-,-,1
18,Islamabad United,LA Dawson,2022-2022,7,7,1,107,31,17.83,125.88,-,-,-
19,Islamabad United,M de Lange,2022-2022,5,3,2,9,7*,9.00,75.00,-,-,-
20,Islamabad United,CS Delport,2019-2019,12,12,1,355,117*,32.27,133.96,1,1,3
21,Islamabad United,BM Duckett,2017-2017,2,2,-,30,16,15.00,88.23,-,-,-
22,Islamabad United,JP Duminy,2018-2018,10,9,2,251,73*,35.85,100.80,-,2,-
23,Islamabad United,Faheem Ashraf,2018-2024,72,55,20,803,55,22.94,144.68,-,3,3
24,Islamabad United,Fawad Ahmed,2021-2021,5,2,2,4,4*,0.00,66.66,-,-,-
25,Islamabad United,Fazalhaq Farooqi,2023-2023,6,2,1,-,0*,0.00,0.00,-,-,1
26,Islamabad United,ST Finn,2018-2018,5,1,-,-,-,0.00,0.00,-,-,1
27,Islamabad United,MW Forde,2024-2024,1,-,-,-,-,0.00,0.00,-,-,-
28,Islamabad United,L Gregory,2021-2021,2,1,1,49,49*,0.00,158.06,-,-,-
29,Islamabad United,MJ Guptill,2024-2024,3,3,-,140,56,46.66,140.00,-,2,-
30,Islamabad United,BJ Haddin,2016-2017,17,17,4,327,73,25.15,130.80,-,4,2
31,Islamabad United,Haider Ali,2024-2024,7,6,2,103,52*,25.75,163.49,-,1,1
32,Islamabad United,AD Hales,2018-2024,35,35,1,908,82*,26.70,138.83,-,4,3
33,Islamabad United,Hasan Ali,2021-2023,27,13,3,120,45,12.00,136.36,-,-,1
34,Islamabad United,Hasan Nawaz,2023-2023,3,3,-,28,21,9.33,100.00,-,-,1
35,Islamabad United,Hunain Shah,2024-2024,10,5,2,9,4*,3.00,69.23,-,-,2
36,Islamabad United,Hussain Talat,2017-2021,40,32,5,619,56,22.92,117.90,-,1,2
37,Islamabad United,Iftikhar Ahmed,2018-2021,13,10,3,230,71*,32.85,118.55,-,1,-
38,Islamabad United,Imad Wasim,2024-2024,12,9,3,126,59*,21.00,128.57,-,1,2
39,Islamabad United,Imran Khalid,2016-2017,12,5,-,39,18,7.80,90.69,-,-,-
40,Islamabad United,CA Ingram,2020-2020,9,9,2,206,63*,29.42,150.36,-,1,-
41,Islamabad United,WG Jacks,2022-2022,2,2,-,11,11,5.50,110.00,-,-,1
42,Islamabad United,Kamran Ghulam,2016-2016,2,1,-,9,9,9.00,75.00,-,-,-
43,Islamabad United,Khalid Latif,2016-2016,9,7,1,206,59,34.33,119.07,-,1,-
44,Islamabad United,UT Khawaja,2021-2021,7,7,2,246,105*,49.20,152.79,1,1,1
45,Islamabad United,BA King,2021-2021,3,3,1,69,46*,34.50,153.33,-,-,-
46,Islamabad United,OC McCoy,2024-2024,2,1,1,-,0*,0.00,0.00,-,-,-
47,Islamabad United,DJ Malan,2020-2020,4,4,1,131,64,43.66,142.39,-,1,-
48,Islamabad United,TS Mills,2024-2024,6,2,2,1,1*,0.00,50.00,-,-,-
49,Islamabad United,Misbah-ul-Haq,2016-2018,26,19,4,381,61*,25.40,109.16,-,1,-
50,Islamabad United,Mohammad Irfan,2016-2017,14,2,2,-,0*,0.00,0.00,-,-,-
51,Islamabad United,Mohammad Sami,2016-2019,36,14,8,39,20*,6.50,100.00,-,-,2
52,Islamabad United,Mohammad Wasim,2021-2023,25,14,6,115,17*,14.37,130.68,-,-,1
53,Islamabad United,Mubasir Khan,2022-2023,14,6,-,49,21,8.16,96.07,-,-,-
54,Islamabad United,Muhammad Akhlaq,2021-2022,7,6,-,46,26,7.66,117.94,-,-,1
55,Islamabad United,Muhammad Hurraira,2022-2022,1,1,-,2,2,2.00,25.00,-,-,-
56,Islamabad United,Muhammad Musa,2019-2022,19,8,6,59,26*,29.50,115.68,-,-,1
57,Islamabad United,C Munro,2020-2024,39,39,4,1322,90*,37.77,153.00,-,12,2
58,Islamabad United,Naseem Shah,2024-2024,11,6,3,62,27,20.66,163.15,-,-,-
59,Islamabad United,Nasir Nawaz,2019-2022,2,2,-,17,14,8.50,77.27,-,-,-
60,Islamabad United,WD Parnell,2019-2019,3,2,-,46,41,23.00,164.28,-,-,-
61,Islamabad United,SR Patel,2018-2019,17,10,4,175,45*,29.16,104.79,-,-,-
62,Islamabad United,N Pooran,2017-2017,1,1,-,1,1,1.00,33.33,-,-,-
63,Islamabad United,Rafatullah Mohmand,2017-2017,3,3,-,46,18,15.33,124.32,-,-,-
64,Islamabad United,Rahmanullah Gurbaz,2022-2023,14,14,1,315,62,24.23,161.53,-,1,1
65,Islamabad United,Rizwan Hussain,2019-2020,9,8,-,82,22,10.25,106.49,-,-,-
66,Islamabad United,Rohail Nazir,2021-2021,4,3,-,43,34,14.33,119.44,-,-,-
67,Islamabad United,L Ronchi,2018-2020,31,31,3,1020,94*,36.42,166.12,-,10,4
68,Islamabad United,Rumman Raees,2016-2024,42,13,8,27,11*,5.40,64.28,-,-,3
69,Islamabad United,AD Russell,2016-2018,14,12,2,110,35*,11.00,119.56,-,-,1
70,Islamabad United,Saeed Ajmal,2016-2017,10,3,2,20,10*,20.00,125.00,-,-,-
71,Islamabad United,Sahibzada Farhan,2018-2019,9,8,1,140,44,20.00,106.06,-,-,-
72,Islamabad United,PD Salt,2019-2021,10,10,-,141,46,14.10,120.51,-,-,1
73,Islamabad United,Shadab Khan,2017-2024,84,70,9,1240,91,20.32,139.32,-,8,7
74,Islamabad United,Sharjeel Khan,2016-2017,12,12,1,300,117,27.27,146.34,1,1,-
75,Islamabad United,DR Smith,2016-2017,13,13,2,427,73,38.81,110.90,-,4,1
76,Islamabad United,Sohaib Maqsood,2023-2023,2,2,-,75,60,37.50,138.88,-,1,-
77,Islamabad United,DW Steyn,2020-2020,4,-,-,-,-,0.00,0.00,-,-,-
78,Islamabad United,PR Stirling,2021-2023,10,10,-,266,58,26.60,166.25,-,3,-
79,Islamabad United,Ubaid Shah,2024-2024,2,1,-,-,-,0.00,0.00,-,-,1
80,Islamabad United,Umar Amin,2016-2021,3,3,-,17,13,5.66,68.00,-,-,1
81,Islamabad United,HE van der Dussen,2023-2023,6,6,-,148,49,24.66,127.58,-,-,-
82,Islamabad United,CAK Walton,2018-2019,9,9,-,186,48,20.66,143.07,-,-,2
83,Islamabad United,Waqas Maqsood,2019-2022,10,2,-,1,1,0.50,16.66,-,-,1
84,Islamabad United,SR Watson,2016-2017,15,15,1,365,79,26.07,125.86,-,1,-
85,Islamabad United,Zafar Gohar,2018-2022,11,6,3,39,13*,13.00,95.12,-,-,-
86,Islamabad United,Zahid Mahmood,2022-2022,2,1,1,3,3*,0.00,33.33,-,-,-
87,Islamabad United,Zahir Khan,2022-2022,2,1,1,-,0*,0.00,0.00,-,-,-
88,Islamabad United,Zeeshan Zameer,2022-2023,3,1,-,-,-,0.00,0.00,-,-,1
89,Islamabad United,Zohaib Khan,2017-2017,1,-,-,-,-,0.00,0.00,-,-,-
90,Karachi Kings,Aamer Yamin,2019-2023,27,12,3,126,35*,14.00,148.23,-,-,2
91,Karachi Kings,Abbas Afridi,2021-2021,4,1,1,27,27*,0.00,150.00,-,-,-
92,Karachi Kings,Abrar Ahmed,2017-2017,2,-,-,-,-,0.00,0.00,-,-,-
93,Karachi Kings,Akif Javed,2023-2023,5,1,1,7,7*,0.00,100.00,-,-,-
94,Karachi Kings,Ali Khan,2020-2020,1,-,-,-,-,0.00,0.00,-,-,-
95,Karachi Kings,Anwar Ali,2024-2024,3,3,2,40,25*,40.00,173.91,-,-,-
96,Karachi Kings,Arafat Minhas,2024-2024,2,1,-,1,1,1.00,100.00,-,-,-
97,Karachi Kings,Arshad Iqbal,2020-2021,16,1,1,-,0*,0.00,0.00,-,-,-
98,Karachi Kings,Awais Zia,2019-2019,2,2,-,22,19,11.00,73.33,-,-,-
99,Karachi Kings,Babar Azam,2017-2022,66,64,9,2398,90*,43.60,121.97,-,23,5
100,Karachi Kings,Bilawal Bhatti,2016-2016,1,1,1,15,15*,0.00,166.66,-,-,-
101,Karachi Kings,RS Bopara,2016-2019,31,28,8,575,71*,28.75,117.34,-,3,1
102,Karachi Kings,DT Christian,2021-2021,5,3,2,55,27,55.00,196.42,-,-,-
103,Karachi Kings,JM Clarke,2021-2022,13,12,1,295,54,26.81,137.20,-,2,1
104,Karachi Kings,IA Cockbain,2022-2022,3,3,-,47,31,15.66,127.02,-,-,-
105,Karachi Kings,BCJ Cutting,2023-2023,6,5,1,89,33,22.25,139.06,-,-,-
106,Karachi Kings,Danish Aziz,2018-2021,4,3,1,74,45,37.00,211.42,-,-,-
107,Karachi Kings,CS Delport,2020-2020,8,8,-,178,62,22.25,121.08,-,1,-
108,Karachi Kings,JL Denly,2018-2018,12,11,1,323,79*,32.30,125.68,-,3,1
109,Karachi Kings,BR Dunk,2019-2019,7,7,2,124,49*,24.80,130.52,-,-,-
110,Karachi Kings,JL du Plooy,2024-2024,2,2,-,36,24,18.00,138.46,-,-,-
111,Karachi Kings,JK Fuller,2023-2023,3,3,2,27,12*,27.00,168.75,-,-,-
112,Karachi Kings,CH Gayle,2017-2017,9,9,-,160,44,17.77,115.10,-,-,-
113,Karachi Kings,L Gregory,2022-2022,7,7,2,72,27,14.40,102.85,-,-,-
114,Karachi Kings,MJ Guptill,2021-2021,6,6,-,69,43,11.50,104.54,-,-,1
115,Karachi Kings,Haider Ali,2023-2023,6,6,-,109,59,18.16,112.37,-,1,1
116,Karachi Kings,AD Hales,2020-2020,9,7,1,272,80*,45.33,148.63,-,2,-
